descricao,estoque,preco
Cadeira de Escritório,50,120.50
Mesa de Reunião,20,350.00
Estante para Armazém,15,500.00
Armário de Ferramentas,30,250.75
Prateleira Metálica,40,80.00
Caixa de Papelão,100,5.25
Palete de Madeira,60,15.00
Carrinho de Mão,10,450.00
Balancim,5,1200.00
Rolo de Papelão,200,3.50
Bancada de Trabalho,8,650.00
Caixa de Ferramentas,25,75.00
Torno Mecânico,2,15000.00
Máquina de Embalar,4,2300.00
Carro de Pátio,3,8500.00
Lona de Cobertura,50,30.00
Equipamento de Segurança,100,60.00
Detector de Metais,6,500.00
Scanner de Código de Barras,12,400.00
Sistema de Monitoramento,3,3200.00
